ITTER107,Territory,TIPO_DATO35,Data type,GIUST_REATO,Type of crime,SEXISTAT1,Gender,TIME,Select time,Value,Flag Codes,Flags
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2000,2000,283,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2001,2001,246,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2002,2002,256,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2003,2003,306,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2004,2004,321,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2005,2005,309,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2006,2006,339,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2007,2007,412,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2008,2008,444,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2009,2009,445,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2010,2010,386,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2011,2011,442,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2012,2012,385,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2013,2013,366,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2014,2014,399,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2015,2015,394,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2016,2016,437,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,2,females,2017,2017,199,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2000,2000,1494,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2001,2001,1324,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2002,2002,1468,,
IT,Italy,FELONYN,number of persons convicted of felony by final judgement,AP,crimes of embezzlement,1,males,2003,2003,1544,,
