LOCATION,Country,REG_ID,Region,IND,Indicator,ISC11,Education ISCED level,GENDER,Gender,MEAS,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
ITA,Italy,ITA,Italy,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2000,2000,PC,Percentage,0,Units,,,35.5,,
ITA,Italy,ITA,Italy,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2001,2001,PC,Percentage,0,Units,,,33.2,,
ITA,Italy,ITA,Italy,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2002,2002,PC,Percentage,0,Units,,,33.9,,
ITA,Italy,ITA,Italy,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2003,2003,PC,Percentage,0,Units,,,35.7,,
ITA,Italy,ITA,Italy,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2004,2004,PC,Percentage,0,Units,,,37,B,Break
ITA,Italy,ITA,Italy,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2005,2005,PC,Percentage,0,Units,,,37.8,,
ITA,Italy,ITA,Italy,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2006,2006,PC,Percentage,0,Units,,,38.4,,
ITA,Italy,ITA,Italy,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2007,2007,PC,Percentage,0,Units,,,38.7,,
ITA,Italy,ITA,Italy,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2008,2008,PC,Percentage,0,Units,,,38.9,,
ITA,Italy,ITA,Italy,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2009,2009,PC,Percentage,0,Units,,,39.7,,
ITA,Italy,ITA,Italy,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2010,2010,PC,Percentage,0,Units,,,40.3,,
ITA,Italy,ITA,Italy,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2011,2011,PC,Percentage,0,Units,,,41,,
ITA,Italy,ITA,Italy,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2012,2012,PC,Percentage,0,Units,,,41.4,,
ITA,Italy,ITA,Italy,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2013,2013,PC,Percentage,0,Units,,,41.8,,
ITA,Italy,ITA,Italy,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2014,2014,PC,Percentage,0,Units,,,42.4,b,There is a break in the series when data for the latest year refer to ISCED 2011 and data for previous years refer to ISCED-97.
ITA,Italy,ITA,Italy,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,42.3,,
ITA,Italy,ITA,Italy,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,42.4,,
