TL,Territory Level and Typology,REG_ID,Region,SERIES,SNA Classification,VAR,Indicator,MEAS,Measure,POS,Position,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
1,Country,ITA,Italy,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,86604,,
2,Large regions (TL2),ITC1,Piedmont,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,91938,,
2,Large regions (TL2),ITC2,Aosta Valley,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,89444,,
2,Large regions (TL2),ITC3,Liguria,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,91819,,
2,Large regions (TL2),ITC4,Lombardy,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,97657,,
2,Large regions (TL2),ITF1,Abruzzo,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,79306,,
2,Large regions (TL2),ITF2,Molise,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,80426,,
2,Large regions (TL2),ITF3,Campania,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,68658,,
2,Large regions (TL2),ITF4,Apulia,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,70936,,
2,Large regions (TL2),ITF5,Basilicata,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,75501,,
2,Large regions (TL2),ITF6,Calabria,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,67678,,
2,Large regions (TL2),ITG1,Sicily,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,73223,,
2,Large regions (TL2),ITG2,Sardinia,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,71871,,
2,Large regions (TL2),ITH1,Province of Bolzano-Bozen,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,92581,,
2,Large regions (TL2),ITH2,Province of Trento,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,100889,,
2,Large regions (TL2),ITH3,Veneto,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,90404,,
2,Large regions (TL2),ITH4,Friuli-Venezia Giulia,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,85884,,
2,Large regions (TL2),ITH5,Emilia-Romagna,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,89940,,
2,Large regions (TL2),ITI1,Tuscany,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,85127,,
2,Large regions (TL2),ITI2,Umbria,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,83964,,
2,Large regions (TL2),ITI3,Marche,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,80217,,
2,Large regions (TL2),ITI4,Lazio,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,100278,,
2,Large regions (TL2),ITZZ,"Italy, not regionalised",SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,196716,,
1,Country,ITA,Italy,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,86507,,
2,Large regions (TL2),ITC1,Piedmont,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,92418,,
2,Large regions (TL2),ITC2,Aosta Valley,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,91382,,
