TL,Territory level and Typology,REG_ID,Region,VAR,Indicator,POS,Position,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,NewValue,Flag Codes,Flags
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2000,2000,,,0,Units,,,2876.91,3107.0628,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2001,2001,,,0,Units,,,3039.03,3282.1524,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2002,2002,,,0,Units,,,2919.49,3153.0492,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2003,2003,,,0,Units,,,2761.4,2982.312,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2004,2004,,,0,Units,,,2910.77,3143.6316,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2005,2005,,,0,Units,,,3010,3250.8,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2006,2006,,,0,Units,,,3149.54,3401.5032,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2007,2007,,,0,Units,,,3284.11,3546.8388,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2008,2008,,,0,Units,,,3282.85,3545.478,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2009,2009,,,0,Units,,,3070.84,3316.5072,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2010,2010,,,0,Units,,,3102.21,3350.3868,,
2,Large regions (TL2),ITC1,Piedmont,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2011,2011,,,0,Units,,,3208.86,3465.5688,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2000,2000,,,0,Units,,,37.65,40.662,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2001,2001,,,0,Units,,,40.19,43.4052,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2002,2002,,,0,Units,,,22.56,24.3648,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2003,2003,,,0,Units,,,20.5,22.14,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2004,2004,,,0,Units,,,19.97,21.5676,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2005,2005,,,0,Units,,,18.07,19.5156,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2006,2006,,,0,Units,,,17.67,19.0836,,
2,Large regions (TL2),ITC2,Aosta Valley,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2007,2007,,,0,Units,,,27.34,29.5272,,
